KRYA,106492379136
BAPI,106247618560
SNLK,106199998464
LABA,105926639616
OILS,105341124608
JAYA,105003417600
KKES,103499997184
BAPA,102576603136
OPMS,101995134976
PGLI,101504000000
SBMA,101361967104
ISAP,100508893184
SICO,99198476288
SDMU,96494125056
OLIV,93103595520
SMKM,92721995776
JAST,92018941952
AIMS,91520000000
BCIP,91514593280
MPOW,89052676096
LOPI,84700864512
LUCK,82311208960
RCCC,80325001216
HDIT,76233998336
PICO,74457120768
DEFI,73684000768
LMAX,72800985088
IKAN,72499970048
IDEA,72245747712
KJEN,71499997184
SPRE,71199997952
TNCA,68727316480
LRNA,64750006272
CSMI,64468856832
GRPH,60999999488
RUNS,60813901824
FLMC,58593746944
BRRC,57320673280
KICI,53819998208
PCAR,52500004864
RICY,51337400320
AEGS,42255388672
WIDI,41600827392
HADE,40279998464
PLAN,34074963968
BMBL,32962592768
PRDL,0
EMMI,0
