ticker,bars,span,tv,cost,trades,in_mkt,rule,hold,start,end,rule_early,hold_early,rule_late,hold_late,edge
SMMT,4594,18.23015873015873,85691500.9999999,0.010993830000364604,85,0.4312146277753592,0.4185579603954728,0.3330958913817128,2007-12-03,2026-08-28,1.3466000669559413,1.4729914245106803,0.14922341625104596,0.027083518433388853,0.08546206901375997
SMRA,5954,23.626984126984127,11199829124.405754,0.014371929824561404,137,0.5120927107826672,0.016459239308582507,0.14395914778825802,2002-08-13,2026-08-28,0.23873406348616788,0.5068519502518813,-0.139395357541381,-0.09225456267598031,-0.12749990847967552
SMRU,1862,7.388888888888889,52307551.00000002,0.012665078089274851,48,0.40816326530612246,-0.15549761605409884,-0.04321315945377768,2011-10-10,2019-04-08,-0.30387900671215207,-0.21594615235475267,-0.08332126402678719,0.035285014387356206,-0.11228445660032116
SMSM,6110,24.246031746031747,661812500.9999989,0.01118659217877095,138,0.5522094926350245,0.04148590209307157,0.19432545368778342,2002-01-07,2026-08-28,0.1681183365424117,0.2688477946953063,-0.055281126306402584,0.1333791216993796,-0.15283955159471185
SNLK,1304,5.174603174603175,2824326750.9999967,0.013474015748031497,27,0.48236196319018404,0.006162569238015836,0.020178921913775127,2021-03-29,2026-08-28,,,0.006162569238015836,0.020178921913775127,-0.014016352675759292
SOCI,2877,11.416666666666666,1644777601.0000002,0.010625125628140704,71,0.46993395898505386,-0.0478952236681387,-0.0049383046740976155,2014-12-03,2026-08-28,,,-0.0478952236681387,-0.0049383046740976155,-0.04295691899404108
SOFA,1479,5.869047619047619,27528350.999999993,0.02832727272727273,31,0.41244083840432727,0.4352233265373495,0.22617024244234774,2020-07-07,2026-08-28,,,0.4352233265373495,0.22617024244234774,0.20905308409500178
SOHO,1438,5.7063492063492065,12915000.99999999,0.014003361344537814,34,0.4666203059805285,0.07516395857948899,0.3864245144996503,2020-09-08,2026-08-28,,,0.07516395857948899,0.3864245144996503,-0.31126055592016133
SOLA,552,2.1904761904761907,848583101.0000006,0.015215384615384617,12,0.4076086956521739,0.13140299691069868,-0.20172687750087337,2024-05-08,2026-08-28,,,0.13140299691069868,-0.20172687750087337,0.33312987441157205
SONA,6545,25.97222222222222,800001.0000000003,0.010145454545454544,140,0.43284950343773876,0.0019417423959617874,0.11096706394429745,2000-05-08,2026-08-28,0.16347681334484143,0.15860288089841745,-0.13717278287218293,0.06419746697153528,-0.10902532154833566
SOSS,1903,7.551587301587301,9690901.000000004,0.010272897196261682,54,0.48712559117183396,-0.24763770780325234,0.10230945178156414,2018-11-06,2026-08-27,,,-0.24763770780325234,0.10230945178156414,-0.3499471595848165
SOTS,1876,7.444444444444445,2789201.0000000014,0.012593006993006993,45,0.43923240938166314,0.19846797972115948,0.07983377590290353,2018-12-11,2026-08-28,,,0.19846797972115948,0.07983377590290353,0.11863420381825596
SPMA,6502,25.8015873015873,26998689.37577818,0.016281372677649775,159,0.47523838818824976,-0.0680076521750278,0.027081907551020024,2000-07-11,2026-08-28,-0.0703288332683838,0.004432363329570865,-0.06565907574065843,0.04877395384361405,-0.09508955972604782
SPRE,518,2.0555555555555554,1362097400.9999979,0.013007407407407409,12,0.5540540540540541,-0.22710435437641963,-0.18486997436473918,2024-07-03,2026-08-28,,,-0.22710435437641963,-0.18486997436473918,-0.04223438001168045
SPTO,2027,8.043650793650794,400350125.99999964,0.014003361344537814,47,0.46768623581647756,0.0042189296616552685,-0.00042967237205238096,2018-05-14,2026-08-28,,,0.0042189296616552685,-0.00042967237205238096,0.0046486020337076495
SQMI,5450,21.626984126984127,2812295.824218748,0.013085926478780603,119,0.4023853211009174,-0.22944116873983456,-0.04618940487373202,2004-07-16,2026-08-28,-0.30492527888778775,0.0864994266315171,-0.17294817322108136,-0.12774776269481902,-0.18325176386610253
SRAJ,3781,15.003968253968255,24227331.334442142,0.013562946346040296,99,0.4937847130388786,-0.12233381391430098,0.3509460435130989,2011-04-11,2026-08-28,-0.5637196336628443,0.23806759860116333,-0.011938394528020257,0.37107449760472666,-0.47327985742739986
SRIL,1444,5.73015873015873,17957400401.00003,0.012255574043261231,36,0.4660664819944598,-0.08628835626195863,0.06592679568268345,2013-06-17,2019-04-08,,,-0.08686316536182903,0.07407904488584816,-0.15221515194464208
SRSN,6220,24.682539682539684,43725500.99999996,0.02199344262295082,146,0.4170418006430868,-0.2567875321636829,-0.058642599741825396,2001-08-06,2026-08-28,-0.36508616851006215,-0.15603113875290942,-0.1403795387973784,0.041295132194943296,-0.1981449324218575
SRTG,3235,12.837301587301587,274286751.0,0.010808333333333333,88,0.4649149922720247,-0.1513269844692201,0.08503950409030403,2013-06-26,2026-08-28,,,-0.15145623023755062,0.08465820237245736,-0.23636648855952413
SSIA,6054,24.023809523809526,5087329201.000005,0.010166210045662101,141,0.4948794185662372,0.18517120145090016,0.18407071540196762,2002-03-25,2026-08-28,0.326371697918437,0.3692533699404552,0.07423229226339778,0.043610333183451866,0.0011004860489325363
SSMS,3114,12.357142857142858,26424291250.99996,0.009552569169960473,80,0.47784200385356457,-0.021901822161517037,0.04862446147064903,2013-12-12,2026-08-28,,,-0.021901822161517037,0.04862446147064903,-0.07052628363216606
SSTM,6044,23.984126984126984,931750.9999999997,0.013600000000000001,147,0.45251489080079416,-0.1564880771346271,0.00810025384470947,2002-04-09,2026-08-28,-0.21963639832636472,-0.10986060284703536,-0.09744365520591092,0.12329777349297788,-0.16458833097933656
STAA,1070,4.246031746031746,7251316001.000009,0.01106448087431694,25,0.45607476635514016,-0.01240873499935835,0.17892658664461614,2022-03-10,2026-08-28,,,-0.01240873499935835,0.17892658664461614,-0.1913353216439745
STAR,3718,14.753968253968255,8739000.999999996,0.018258227848101265,80,0.38999462076385155,0.11526590873477804,0.07623912619498041,2011-07-13,2026-08-28,-0.14440008591241582,-0.40992244503770936,0.16050325085902672,0.17777617613784313,0.03902678253979763
STRK,687,2.7261904761904763,339618001.0000002,0.02199344262295082,9,0.34643377001455605,0.06496228928697945,-0.209991573314952,2023-10-10,2026-08-28,,,0.06496228928697945,-0.209991573314952,0.27495386260193144
STTP,6122,24.293650793650794,1157500.9999999993,0.010145454545454544,146,0.4828487422410977,-0.08133129370260728,0.16010057420606572,2001-12-20,2026-08-28,-0.06088988616100777,0.17905655853160085,-0.09922093984771652,0.13833662366566357,-0.241431867908673
SUGI,4114,16.325396825396826,314006.6677779998,0.01251319101206911,84,0.3760330578512397,-0.2692804334627067,-0.053561539978281836,2002-06-19,2019-04-08,-0.33578755004871674,0.12002005616423794,-0.12661678950799593,-0.3120223156953411,-0.21571889348442486
SULI,5996,23.793650793650794,120293505.6414336,0.015123809523809525,136,0.416444296197465,0.014820569967643582,0.018242102585951603,2002-06-13,2026-08-28,0.09135089747366609,0.051931227592355134,-0.046356051416407085,-0.009711542848152677,-0.003421532618308021
SUNI,864,3.4285714285714284,377210001.0000002,0.013062686567164179,19,0.4861111111111111,0.14369927292313633,0.3114549891285465,2023-01-09,2026-08-28,,,0.14369927292313633,0.3114549891285465,-0.1677557162054102
SUPR,3664,14.53968253968254,1.0,0.008805128205128205,50,0.33979257641921395,0.10643213277900787,0.19006889751019407,2011-10-11,2026-08-27,0.08603378167724052,0.3186612463508476,0.10915137456386059,0.1740698739661588,-0.0836367647311862
SURE,1924,7.634920634920635,11500500.999999983,0.009819409282700422,44,0.4682952182952183,-0.03717908007129034,0.35132436154935,2018-10-05,2026-08-28,,,-0.03717908007129034,0.35132436154935,-0.3885034416206403
